"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16"
"20" 0.0764851304816188 NA 0.321112748710391 0.675789633309898 0.0095657 NA 0.269338554797184 0.352155490051584 0.0905919707167197 0.278517856168864 0.458456153279293 0.2573 0.7427 0.86 0.868 0.798767348044939
"21" 0.00959230358182562 0.0794050979614258 0.0207522697795071 NA NA NA 0.001 0.00778210116731518 0.503507971072979 NA 0.111543450064851 0.1117 0.8884 0.992 0.992 NA
"22" 0.001 NA 0.00799200799200799 NA NA NA NA 0.514485514485514 0.001 0.193620397560425 0.013986013986014 0.1705 0.8295 0.92 0.92 NA
"23" 0.0281892446777082 NA 0.1974609375 0.642580406097798 0.0021897 NA 0.0652363852388699 0.4267578125 0.0680864895791546 0.369980020354017 0.422265625 0.6006 0.3994 0.948 0.989 0.797991441721353
"24" 0.0431492004392697 0.124066696166992 0.279434231925484 0.55958508506542 0.0051672 NA 0.000412235189438072 0.425484204819871 0.289159441023427 0.28110499205426 0.425410280419891 0.2295 0.7705 0.943 0.941 0.727363668315103
"25" 0.001 0.209155406951904 0.0341955282770715 0.710628384751102 NA NA NA 0.598991670320035 0.0680222242332107 NA 0.0701446733888645 0.5616 0.4385 0.905 0.935 0.816692777440605
"27" 0.0645954348653178 0.168421001434326 0.0412858857195606 0.553937157407919 NA NA 0.0233800081306112 0.505529400904643 0.503950687871474 NA 0.34805224776147 0.3109 0.6891 0.503 0.608 0.298363857856341
"28" 0.123050408206255 NA 0.0957354148171722 0.733049765947018 NA 0.9172943 0.124597584378954 0.59048783581036 0.0726504448912215 0.365893636123525 0.338100342899258 0.1407 0.8593 0.828 0.88 0.313022747833557
"29" 0.183473962141714 0.141647396087646 0.255813953488372 NA NA NA NA 0.146511627906977 0.0556483939265343 NA 0.325581395348837 0.6859 0.3142 0.962 0.962 NA
"30" 0.179347038278051 0.0998591041564941 0.0094876660341556 0.415069817148235 NA NA 4.83966771741855e-05 0.721062618595825 0.929798092278354 NA 0.0273244781783681 0.225 0.7751 NA NA NA
"31" NA 0.17030309677124 0.0262874832751791 0.41399571451465 NA NA NA 0.722756250491907 NA NA 0.137891229635071 0.6062 0.3938 0.504 0.779 0.999
"32" 0.00632127017810574 NA 0.0070403896035149 NA NA NA 3.16580576382795e-05 0.191272740105518 0.0038326427016107 NA 0.458789899952358 0.4229 0.5771 0.634 0.785 0.151203629744544
"33" NA NA 0.0288933834151979 0.411027719663331 NA NA NA 0.355870172397188 0.00011315873618561 NA 0.0815435487495586 0.5967 0.4033 0.218 0.436 0.438244578322947
"34" 0.138318954280315 NA 0.050602022761288 NA NA NA 0.225399165630939 0.381666705155655 0.213206587626246 0.171703354105064 0.0717610691581139 0.1799 0.8201 0.998 0.999 NA
"36" 0.268380552233992 0.155263204574585 0.101275432736107 NA NA NA 0.435660086456551 0.317339811721834 0.0134289002565861 0.174239639213674 0.385337584775787 0.2601 0.7399 0.999 0.999 NA
"38" 0.0589868124887793 0.198914108276367 0.0173388636938289 0.644047743305019 0.0038444 NA 0.0601419197206422 0.238523695012454 0.00710641025118235 0.217760292633708 0.211977426660857 0.103 0.897 0.991 0.999 NA
